iter	Passed	Remaining
487	690	724
488	691	722
489	692	721
490	697	722
491	699	722
492	700	720
493	701	718
494	702	716
495	703	715
496	705	713
497	705	711
498	706	709
499	707	707
500	708	705
501	708	703
502	709	701
503	710	699
504	711	697
505	712	695
506	713	693
507	714	691
508	714	689
509	715	687
510	716	685
511	717	683
512	718	681
513	719	680
514	720	678
515	722	677
516	723	675
517	723	673
518	724	671
519	725	669
520	725	667
521	728	667
522	729	665
523	730	663
524	730	661
525	731	659
526	733	658
527	734	656
528	735	655
529	736	653
530	737	651
531	738	649
532	738	647
533	739	645
534	739	643
535	740	641
536	741	639
537	742	637
538	743	635
539	743	633
540	744	631
541	746	631
542	756	636
543	758	636
544	763	637
545	765	636
546	773	640
547	775	639
548	775	637
549	776	635
550	777	633
551	777	631
552	778	629
553	780	628
554	783	628
555	785	627
556	795	632
557	796	631
558	797	629
559	798	627
560	799	625
561	799	623
562	805	625
563	808	625
564	812	625
565	813	623
566	814	622
567	815	619
568	816	618
569	818	617
570	819	615
571	820	613
572	820	611
573	821	609
574	822	607
575	822	605
576	823	604
577	835	609
578	837	608
579	838	606
580	838	604
581	839	602
582	844	604
583	848	604
584	850	603
585	851	601
586	853	600
587	854	598
588	855	596
589	856	595
590	856	593
591	858	591
592	858	589
593	859	587
594	860	585
595	861	584
596	862	582
597	864	581
598	865	579
599	865	577
600	866	575
601	868	574
602	870	572
603	870	570
604	871	568
605	872	567
606	873	565
607	874	563
608	877	563
609	879	562
610	888	565
611	891	565
612	892	563
613	893	561
614	896	560
615	898	560
616	900	559
617	902	557
618	904	556
619	905	555
620	906	553
621	907	551
622	907	549
623	908	547
624	909	545
625	909	543
626	912	542
627	916	543
628	918	541
629	922	541
630	923	540
631	924	538
632	924	536
633	926	534
634	927	532
635	927	530
636	928	529
637	929	527
638	932	526
639	933	525
640	936	524
641	937	522
642	938	521
643	939	519
644	941	518
645	944	517
646	945	515
647	945	513
648	947	512
649	948	510
650	949	508
651	950	507
652	950	505
653	951	503
654	952	501
655	953	500
656	955	498
657	980	509
658	997	516
659	1019	524
660	1063	545
661	1069	545
662	1102	560
663	1104	559
664	1139	574
665	1149	576
666	1155	576
667	1181	587
668	1182	585
669	1183	582
670	1184	580
671	1187	579
672	1197	581
673	1198	579
674	1200	577
675	1200	575
676	1201	573
677	1203	571
678	1212	573
679	1212	570
680	1215	569
681	1216	567
682	1217	565
683	1217	562
684	1235	568
685	1236	566
686	1241	565
687	1244	564
688	1246	562
689	1248	560
690	1251	559
691	1254	558
692	1258	557
693	1259	555
694	1265	555
695	1272	555
696	1273	553
697	1274	551
698	1275	549
699	1276	547
700	1277	545
701	1279	542
702	1279	540
703	1281	538
704	1283	537
705	1283	534
706	1288	533
707	1289	531
708	1291	529
709	1295	529
710	1302	529
711	1303	527
712	1306	525
713	1326	531
714	1327	529
715	1329	527
716	1330	525
717	1331	522
718	1332	520
719	1333	518
720	1334	516
721	1337	514
722	1337	512
723	1339	510
724	1340	508
725	1341	506
726	1342	503
727	1343	501
728	1344	499
729	1345	497
730	1346	495
731	1347	493
732	1348	491
733	1348	488
734	1349	486
735	1350	484
736	1351	482
737	1352	480
738	1353	477
739	1354	475
740	1354	473
741	1355	471
742	1356	469
743	1357	467
744	1359	465
745	1360	463
746	1361	461
747	1363	459
748	1364	457
749	1365	455
750	1368	453
751	1376	454
752	1380	452
753	1381	450
754	1382	448
755	1383	446
756	1384	444
757	1385	442
758	1385	439
759	1387	438
760	1388	436
761	1388	433
762	1389	431
763	1390	429
764	1390	427
765	1391	424
766	1397	424
767	1425	430
768	1429	429
769	1430	427
770	1431	425
771	1432	422
772	1433	420
773	1435	419
774	1436	416
775	1437	414
776	1439	413
777	1441	411
778	1442	409
779	1443	407
780	1443	404
781	1444	402
782	1446	400
783	1446	398
784	1447	396
785	1448	394
786	1449	392
787	1450	390
788	1457	389
789	1465	389
790	1465	387
791	1466	385
792	1467	383
793	1468	380
794	1469	378
795	1470	376
796	1471	374
797	1472	372
798	1472	370
799	1473	368
800	1477	367
801	1478	365
802	1480	363
803	1481	361
804	1483	359
805	1484	357
806	1485	355
807	1486	353
808	1493	352
809	1495	350
810	1497	348
811	1498	346
812	1499	344
813	1500	342
814	1501	340
815	1501	338
816	1502	336
817	1503	334
818	1503	332
819	1505	330
820	1519	331
821	1520	329
822	1522	327
823	1524	325
824	1525	323
825	1526	321
826	1529	319
827	1530	317
828	1531	315
829	1532	313
830	1533	311
831	1533	309
832	1534	307
833	1535	305
834	1536	303
835	1537	301
836	1538	299
837	1539	297
838	1540	295
839	1541	293
840	1541	291
841	1542	289
842	1543	287
843	1543	285
844	1544	283
845	1545	281
846	1545	279
847	1546	277
848	1547	275
849	1547	273
850	1548	271
851	1549	269
852	1550	267
853	1551	265
854	1552	263
855	1553	261
856	1553	259
857	1554	257
858	1555	255
859	1556	253
860	1559	251
861	1561	249
862	1563	248
863	1564	246
864	1565	244
865	1568	242
866	1571	240
867	1572	239
868	1574	237
869	1576	235
870	1584	234
871	1596	234
872	1647	239
873	1655	238
874	1659	237
875	1660	235
876	1662	233
877	1663	231
